farmer_id,name,city,crop,avg_yield_tons,farm_size_acres,phone,wallet_balance
1,Farmer_1,Kolhapur,Maize,4.8,6.0,900000001.0,18450.0
2,Farmer_2,Nagpur,Tomato,6.2,5.0,900000002.0,21500.0
3,Farmer_3,Aurangabad,Maize,5.1,7.0,900000003.0,17600.0
4,Farmer_4,Pune,Wheat,4.4,6.0,900000004.0,19320.0
5,Farmer_5,Nagpur,Tomato,6.5,5.0,900000005.0,20800.0
6,Farmer_6,Nashik,Soybean,4.9,8.0,900000006.0,18200.0
7,Farmer_7,Jaipur,Apple,7.8,10.0,900000007.0,25400.0
8,Farmer_8,Kolhapur,Orange,6.9,9.0,900000008.0,22900.0
9,Farmer_9,Indore,Apple,7.5,11.0,900000009.0,26700.0
10,Farmer_10,Bhopal,Soybean,4.7,7.0,900000010.0,17500.0
11,Farmer_11,Bhopal,Onion,6.0,6.0,900000011.0,19600.0
12,Farmer_12,Kolhapur,Onion,5.8,6.0,900000012.0,18800.0
13,Farmer_13,Kolhapur,Wheat,4.6,7.0,900000013.0,19200.0
14,Farmer_14,Jaipur,Orange,6.7,8.0,900000014.0,22100.0
15,Farmer_15,Kolhapur,Tomato,6.3,5.0,900000015.0,21000.0
16,Farmer_16,Bhopal,Potato,5.9,6.0,900000016.0,19800.0
17,Farmer_17,Indore,Potato,6.1,7.0,900000017.0,20300.0
18,Farmer_18,Pune,Apple,7.4,9.0,900000018.0,24800.0
19,Farmer_19,Nashik,Soybean,4.8,8.0,900000019.0,17900.0
20,Farmer_20,Indore,Potato,6.2,7.0,900000020.0,20500.0
21,Farmer_21,Indore,Potato,6.0,6.0,900000021.0,20100.0
22,Farmer_22,Nashik,Apple,7.6,10.0,900000022.0,25900.0
23,Farmer_23,Nagpur,Tomato,6.4,5.0,900000023.0,21400.0
24,Farmer_24,Indore,Orange,6.8,8.0,900000024.0,22600.0
25,Farmer_25,Kolhapur,Tomato,6.1,5.0,900000025.0,20900.0
26,Farmer_26,Ahmedabad,Wheat,4.5,7.0,900000026.0,19100.0
27,Farmer_27,Mumbai,Soybean,4.6,6.0,900000027.0,18300.0
28,Farmer_28,Nagpur,Onion,5.9,6.0,900000028.0,19500.0
29,Farmer_29,Bhopal,Apple,7.3,9.0,900000029.0,24500.0
30,Farmer_30,Mumbai,Maize,4.9,6.0,900000030.0,17800.0
31,Farmer_31,Jaipur,Tomato,6.6,5.0,900000031.0,21800.0
32,Farmer_32,Pune,Wheat,4.7,7.0,900000032.0,19400.0
33,Farmer_33,Indore,Soybean,4.8,8.0,900000033.0,18000.0
34,Farmer_34,Bhopal,Onion,6.1,6.0,900000034.0,19900.0
35,Farmer_35,Mumbai,Onion,5.7,6.0,900000035.0,18700.0
36,Farmer_36,Nashik,Potato,6.0,7.0,900000036.0,20400.0
37,Farmer_37,Mumbai,Wheat,4.5,7.0,900000037.0,18900.0
38,Farmer_38,Bhopal,Tomato,6.4,5.0,900000038.0,21300.0
39,Farmer_39,Kolhapur,Apple,7.7,10.0,900000039.0,25800.0
40,Farmer_40,Pune,Orange,6.9,8.0,900000040.0,22700.0
41,Farmer_41,Ahmedabad,Onion,5.8,6.0,900000041.0,19000.0
42,Farmer_42,Nagpur,Soybean,4.7,7.0,900000042.0,17600.0
43,Farmer_43,Indore,Apple,7.5,10.0,900000043.0,26200.0
44,Farmer_44,Pune,Apple,7.2,9.0,900000044.0,24900.0
45,Farmer_45,Nagpur,Potato,6.1,7.0,900000045.0,20600.0
46,Farmer_46,Mumbai,Maize,5.0,6.0,900000046.0,18200.0
47,Farmer_47,Bhopal,Onion,6.0,6.0,900000047.0,19800.0
48,Farmer_48,Nashik,Wheat,4.6,7.0,900000048.0,19100.0
49,Farmer_49,Nashik,Soybean,4.9,8.0,900000049.0,18100.0
50,Farmer_50,Ahmedabad,Soybean,4.8,7.0,900000050.0,17900.0
51,Farmer_51,Mumbai,Wheat,4.6,7.0,900000051.0,19200.0
52,Farmer_52,Mumbai,Potato,6.1,6.0,900000052.0,20400.0
53,Farmer_53,Aurangabad,Soybean,4.9,8.0,900000053.0,18100.0
54,Farmer_54,Jaipur,Tomato,6.5,5.0,900000054.0,21900.0
55,Farmer_55,Nashik,Wheat,4.7,7.0,900000055.0,19300.0
56,Farmer_56,Pune,Maize,5.0,6.0,900000056.0,18500.0
57,Farmer_57,Nashik,Apple,7.6,10.0,900000057.0,26100.0
58,Farmer_58,Mumbai,Maize,4.8,6.0,900000058.0,17900.0
59,Farmer_59,Jaipur,Apple,7.7,10.0,900000059.0,26800.0
60,Farmer_60,Indore,Orange,6.9,9.0,900000060.0,22800.0
61,Farmer_61,Kolhapur,Soybean,4.8,8.0,900000061.0,18200.0
62,Farmer_62,Indore,Maize,5.1,7.0,900000062.0,18700.0
63,Farmer_63,Nagpur,Tomato,6.4,5.0,900000063.0,21400.0
64,Farmer_64,Bhopal,Wheat,4.6,7.0,900000064.0,19100.0
65,Farmer_65,Indore,Potato,6.2,7.0,900000065.0,20700.0
66,Farmer_66,Aurangabad,Wheat,4.7,7.0,900000066.0,19400.0
67,Farmer_67,Aurangabad,Orange,6.8,9.0,900000067.0,22500.0
68,Farmer_68,Aurangabad,Apple,7.4,9.0,900000068.0,25300.0
69,Farmer_69,Mumbai,Apple,7.3,9.0,900000069.0,24900.0
70,Farmer_70,Bhopal,Onion,6.0,6.0,900000070.0,19700.0
71,Farmer_71,Kolhapur,Tomato,6.3,5.0,900000071.0,21200.0
72,Farmer_72,Pune,Onion,5.9,6.0,900000072.0,19600.0
73,Farmer_73,Pune,Onion,6.1,6.0,900000073.0,19900.0
74,Farmer_74,Indore,Maize,5.0,7.0,900000074.0,18600.0
75,Farmer_75,Mumbai,Potato,6.0,6.0,900000075.0,20200.0
76,Farmer_76,Bhopal,Apple,7.5,10.0,900000076.0,26400.0
77,Farmer_77,Bhopal,Orange,6.7,8.0,900000077.0,22400.0
78,Farmer_78,Pune,Potato,6.2,6.0,900000078.0,20600.0
79,Farmer_79,Mumbai,Wheat,4.5,7.0,900000079.0,19000.0
80,Farmer_80,Jaipur,Soybean,4.8,8.0,900000080.0,18300.0
81,Farmer_81,Aurangabad,Tomato,6.5,5.0,900000081.0,21700.0
82,Farmer_82,Kolhapur,Soybean,4.9,8.0,900000082.0,18500.0
83,Farmer_83,Nagpur,Orange,6.8,9.0,900000083.0,22600.0
84,Farmer_84,Jaipur,Maize,5.1,7.0,900000084.0,18800.0
85,Farmer_85,Aurangabad,Apple,7.6,10.0,900000085.0,26200.0
86,Farmer_86,Mumbai,Maize,4.9,6.0,900000086.0,18100.0
87,Farmer_87,Jaipur,Orange,6.9,9.0,900000087.0,22900.0
88,Farmer_88,Aurangabad,Wheat,4.6,7.0,900000088.0,19200.0
89,Farmer_89,Kolhapur,Apple,7.5,10.0,900000089.0,26000.0
90,Farmer_90,Aurangabad,Onion,6.0,6.0,900000090.0,19800.0
91,Farmer_91,Nashik,Maize,5.0,7.0,900000091.0,18700.0
92,Farmer_92,Pune,Maize,4.9,6.0,900000092.0,18400.0
93,Farmer_93,Ahmedabad,Wheat,4.7,7.0,900000093.0,19500.0
94,Farmer_94,Mumbai,Potato,6.1,6.0,900000094.0,20300.0
95,Farmer_95,Kolhapur,Soybean,4.8,8.0,900000095.0,18200.0
96,Farmer_96,Nagpur,Onion,5.9,6.0,900000096.0,19600.0
97,Farmer_97,Ahmedabad,Maize,5.1,7.0,900000097.0,18900.0
98,Farmer_98,Pune,Orange,6.8,9.0,900000098.0,22700.0
99,Farmer_99,Kolhapur,Wheat,4.6,7.0,900000099.0,19300.0
100,Farmer_100,Nagpur,Orange,6.9,9.0,900000100.0,23000.0
101,Farmer_101,Bhopal,Wheat,4.7,7.0,900000101.0,19400.0
102,Farmer_102,Ahmedabad,Maize,5.2,7.0,900000102.0,18800.0
103,Farmer_103,Jaipur,Potato,6.3,6.0,900000103.0,20600.0
104,Farmer_104,Mumbai,Wheat,4.6,7.0,900000104.0,19100.0
105,Farmer_105,Kolhapur,Wheat,4.8,7.0,900000105.0,19600.0
106,Farmer_106,Nashik,Apple,7.8,10.0,900000106.0,26800.0
107,Farmer_107,Bhopal,Maize,5.1,7.0,900000107.0,18700.0
108,Farmer_108,Aurangabad,Soybean,4.9,8.0,900000108.0,18300.0
109,Farmer_109,Mumbai,Orange,6.7,9.0,900000109.0,22400.0
110,Farmer_110,Jaipur,Apple,7.6,10.0,900000110.0,26500.0
111,Farmer_111,Mumbai,Apple,7.5,9.0,900000111.0,25900.0
112,Farmer_112,Indore,Apple,7.7,10.0,900000112.0,26700.0
113,Farmer_113,Ahmedabad,Onion,6.1,6.0,900000113.0,19800.0
114,Farmer_114,Bhopal,Orange,6.8,9.0,900000114.0,22600.0
115,Farmer_115,Nashik,Apple,7.6,10.0,900000115.0,26400.0
116,Farmer_116,Kolhapur,Orange,6.9,9.0,900000116.0,22900.0
117,Farmer_117,Mumbai,Onion,6.0,6.0,900000117.0,19700.0
118,Farmer_118,Jaipur,Maize,5.2,7.0,900000118.0,18900.0
119,Farmer_119,Mumbai,Wheat,4.7,7.0,900000119.0,19400.0
120,Farmer_120,Pune,Maize,5.1,7.0,900000120.0,18700.0
121,Farmer_121,Ahmedabad,Orange,6.8,9.0,900000121.0,22800.0
122,Farmer_122,Mumbai,Tomato,6.4,5.0,900000122.0,21400.0
123,Farmer_123,Pune,Soybean,4.9,8.0,900000123.0,18200.0
124,Farmer_124,Pune,Maize,5.0,7.0,900000124.0,18600.0
125,Farmer_125,Jaipur,Onion,6.0,6.0,900000125.0,19700.0
126,Farmer_126,Nashik,Orange,6.9,9.0,900000126.0,23000.0
127,Farmer_127,Aurangabad,Maize,5.1,7.0,900000127.0,18800.0
128,Farmer_128,Bhopal,Soybean,4.8,8.0,900000128.0,18100.0
129,Farmer_129,Kolhapur,Soybean,4.9,8.0,900000129.0,18400.0
